Date,Interest Rate
Jan 2021,0.1
Feb 2021,0.1
Mar 2021,0.1
Apr 2021,0.1
May 2021,0.1
Jun 2021,0.1
Jul 2021,0.1
Aug 2021,0.1
Sep 2021,0.1
Oct 2021,0.1
Nov 2021,0.1
Dec 2021,0.25
Jan 2022,0.25
Feb 2022,0.5
Mar 2022,0.75
Apr 2022,0.75
May 2022,1
Jun 2022,1.25
Jul 2022,1.25
Aug 2022,1.75
Sep 2022,2.25
Oct 2022,2.25
Nov 2022,3
Dec 2022,3.5
Jan 2023,3.5
Feb 2023,4
Mar 2023,4.25
Apr 2023,4.25
May 2023,4.5
Jun 2023,5
Jul 2023,5
Aug 2023,5.25
Sep 2023,5.25
Oct 2023,5.25
Nov 2023,5.25
Dec 2023,5.25
Jan 2024,5.25
Feb 2024,5.25
Mar 2024,5.25
Apr 2024,5.25
May 2024,5.25
Jun 2024,5.25
Jul 2024,5.25
Aug 2024,5
Sep 2024,5
Oct 2024,5
Nov 2024,4.75
Dec 2024,4.75
Jan 2025,4.75
