Date,GBP/USD
Jan 2005,1.8764
Feb 2005,1.8871
Mar 2005,1.9078
Apr 2005,1.896
May 2005,1.8538
Jun 2005,1.8179
Jul 2005,1.7509
Aug 2005,1.7943
Sep 2005,1.8081
Oct 2005,1.764
Nov 2005,1.7341
Dec 2005,1.7462
Jan 2006,1.7678
Feb 2006,1.747
Mar 2006,1.7435
Apr 2006,1.7685
May 2006,1.8702
Jun 2006,1.8428
Jul 2006,1.8447
Aug 2006,1.8944
Sep 2006,1.8847
Oct 2006,1.8755
Nov 2006,1.9119
Dec 2006,1.9633
Jan 2007,1.9587
Feb 2007,1.9581
Mar 2007,1.9471
Apr 2007,1.9909
May 2007,1.9836
Jun 2007,1.9864
Jul 2007,2.0338
Aug 2007,2.0111
Sep 2007,2.0185
Oct 2007,2.0446
Nov 2007,2.0701
Dec 2007,2.0185
Jan 2008,1.9698
Feb 2008,1.9638
Mar 2008,2.0032
Apr 2008,1.9817
May 2008,1.9641
Jun 2008,1.9658
Jul 2008,1.988
Aug 2008,1.8889
Sep 2008,1.7986
Oct 2008,1.69
Nov 2008,1.5338
Dec 2008,1.4859
Jan 2009,1.4452
Feb 2009,1.4411
Mar 2009,1.4174
Apr 2009,1.4715
May 2009,1.5429
Jun 2009,1.6366
Jul 2009,1.6366
Aug 2009,1.6539
Sep 2009,1.6328
Oct 2009,1.6199
Nov 2009,1.6597
Dec 2009,1.6239
Jan 2010,1.6162
Feb 2010,1.5615
Mar 2010,1.5053
Apr 2010,1.534
May 2010,1.4627
Jun 2010,1.4761
Jul 2010,1.5299
Aug 2010,1.566
Sep 2010,1.5578
Oct 2010,1.5862
Nov 2010,1.5961
Dec 2010,1.5603
