Date,Consumer Confidence
Jan 2021,-28
Feb 2021,-23
Mar 2021,-16
Apr 2021,-15
May 2021,-9
Jun 2021,-9
Jul 2021,-7
Aug 2021,-8
Sep 2021,-13
Oct 2021,-17
Nov 2021,-14
Dec 2021,-15
Jan 2022,-19
Feb 2022,-26
Mar 2022,-31
Apr 2022,-38
May 2022,-40
Jun 2022,-41
Jul 2022,-41
Aug 2022,-44
Sep 2022,-49
Oct 2022,-47
Nov 2022,-44
Dec 2022,-42
Jan 2023,-45
Feb 2023,-38
Mar 2023,-36
Apr 2023,-30
May 2023,-27
Jun 2023,-24
Jul 2023,-30
Aug 2023,-25
Sep 2023,-21
Oct 2023,-30
Nov 2023,-24
Dec 2023,-22
Jan 2024,-19
Feb 2024,-21
Mar 2024,-21
Apr 2024,-19
May 2024,-17
Jun 2024,-14
Jul 2024,-13
Aug 2024,-13
Sep 2024,-20
Oct 2024,-21
Nov 2024,-18
Dec 2024,-17
Jan 2025,-22
