Date,Mortgage Approval
Jan 2005,81.704
Feb 2005,86.245
Mar 2005,91.584
Apr 2005,98.4
May 2005,94.708
Jun 2005,94.568
Jul 2005,98.628
Aug 2005,102.804
Sep 2005,103.924
Oct 2005,109.639
Nov 2005,111.916
Dec 2005,123.27
Jan 2006,119.82
Feb 2006,114.017
Mar 2006,117.414
Apr 2006,110.692
May 2006,115.419
Jun 2006,118.518
Jul 2006,117.707
Aug 2006,118.518
Sep 2006,123.197
Oct 2006,126.186
Nov 2006,126.09
Dec 2006,121.217
Jan 2007,118.585
Feb 2007,119.016
Mar 2007,114.503
Apr 2007,109.256
May 2007,114.393
Jun 2007,114.183
Jul 2007,112.773
Aug 2007,107.715
Sep 2007,99.353
Oct 2007,86.281
Nov 2007,79.263
Dec 2007,74.514
Jan 2008,71.347
Feb 2008,70.975
Mar 2008,60.423
Apr 2008,57.126
May 2008,40.56
Jun 2008,35.413
Jul 2008,33.025
Aug 2008,32.652
Sep 2008,32.285
Oct 2008,31.584
Nov 2008,26.394
Dec 2008,31.614
Jan 2009,32.406
Feb 2009,40.756
Mar 2009,42.133
Apr 2009,45.453
May 2009,47.63
Jun 2009,50.455
Jul 2009,53.394
Aug 2009,52.604
Sep 2009,55.581
Oct 2009,55.958
Nov 2009,57.299
Dec 2009,58.058
